A,B,C,D,E,F,X,Y,Z
A4,B2,C1,D5,E8,F2,X5,Y0,Z1
A6,B8,C5,D0,E3,F7,X2,Y5,Z4
A3,B7,C1,D8,E10,F6,X9,Y5,Z2
A5,B0,C1,D5,E6,F2,X2,Y6,Z3
A6,B3,C6,D4,E4,F10,X9,Y10,Z8
A6,B3,C6,D4,E4,F10,X7,Y6,Z10
A10,B4,C2,D9,E5,F0,X5,Y2,Z1
A10,B4,C2,D9,E5,F0,X5,Y8,Z1
A3,B6,C0,D9,E4,F3,X4,Y7,Z3
A3,B6,C0,D9,E4,F3,X3,Y0,Z7
A6,B4,C4,D3,E4,F2,X4,Y7,Z4
A6,B4,C4,D3,E4,F2,X6,Y2,Z7
A3,B2,C8,D6,E3,F9,X2,Y6,Z9
A4,B6,C10,D0,E4,F8,X7,Y0,Z10
A4,B6,C10,D0,E4,F8,X7,Y10,Z1
A9,B1,C8,D5,E3,F8,X6,Y2,Z1
A8,B4,C8,D7,E4,F5,X10,Y1,Z1
A0,B3,C2,D4,E0,F6,X8,Y3,Z4
A0,B3,C2,D4,E0,F6,X1,Y4,Z7
A0,B3,C2,D4,E0,F6,X2,Y5,Z10
A0,B5,C1,D2,E10,F1,X10,Y9,Z4
A6,B2,C9,D5,E4,F4,X8,Y10,Z6
A6,B2,C9,D5,E4,F4,X1,Y5,Z9
A6,B2,C9,D5,E4,F4,X2,Y10,Z3
A7,B3,C3,D0,E5,F3,X7,Y4,Z4
A2,B1,C4,D6,E8,F8,X2,Y9,Z4
A2,B1,C4,D6,E8,F8,X1,Y9,Z0
A2,B1,C4,D6,E8,F8,X10,Y9,Z6
A6,B8,C6,D0,E4,F9,X8,Y7,Z6
A5,B4,C10,D3,E6,F2,X5,Y3,Z5
A5,B4,C10,D3,E6,F2,X0,Y7,Z7
A5,B4,C10,D3,E6,F2,X10,Y0,Z2
A5,B8,C3,D3,E8,F4,X0,Y10,Z7
A5,B8,C3,D3,E8,F4,X5,Y1,Z4
A7,B10,C4,D6,E9,F3,X6,Y2,Z5
A7,B10,C4,D6,E9,F3,X4,Y6,Z9
A4,B1,C1,D3,E3,F9,X8,Y7,Z3
A4,B1,C1,D3,E3,F9,X1,Y5,Z7
A9,B6,C2,D6,E6,F2,X5,Y3,Z8
A9,B6,C2,D6,E6,F2,X7,Y3,Z10
A1,B1,C9,D2,E4,F0,X3,Y7,Z8
A1,B1,C9,D2,E4,F0,X0,Y2,Z7
A1,B1,C9,D2,E4,F0,X0,Y10,Z4
A1,B1,C9,D2,E4,F0,X4,Y1,Z7
A4,B0,C10,D4,E9,F9,X5,Y8,Z7
A1,B3,C1,D7,E4,F4,X10,Y10,Z9
A1,B3,C1,D7,E4,F4,X8,Y1,Z2
A10,B8,C2,D8,E1,F9,X5,Y2,Z8
A10,B8,C2,D8,E1,F9,X6,Y8,Z7
A10,B8,C2,D8,E1,F9,X10,Y2,Z7
A10,B8,C2,D8,E1,F9,X7,Y2,Z0
A10,B8,C2,D8,E1,F9,X8,Y10,Z7
A10,B8,C2,D8,E1,F9,X10,Y7,Z6
A10,B8,C2,D8,E1,F9,X7,Y8,Z0
A10,B8,C2,D8,E1,F9,X9,Y7,Z9
A5,B2,C3,D8,E8,F5,X1,Y2,Z1
A5,B2,C3,D8,E8,F5,X8,Y7,Z6
A2,B6,C8,D10,E1,F0,X8,Y3,Z3
A9,B8,C3,D6,E3,F0,X6,Y5,Z1
A0,B5,C6,D10,E3,F4,X3,Y1,Z1
A0,B3,C2,D9,E6,F3,X8,Y3,Z4
A0,B3,C2,D9,E6,F3,X1,Y4,Z7
A0,B3,C2,D9,E6,F3,X2,Y5,Z10
